word,base
abiliana,abily
fiabiliana,abily
fiabily,abily
habiliana,abily
iabiliana,abily
miabily,abily
mpiabily,abily
aboabo,abo
aboina,abo
aboñabo,abo
fanabo,abo
haabo,abo
haboa,abo
haboana,abo
habosana,abo
mahaabo,abo
manabo,abo
miabo,abo
mihaabo,abo
piabo,abo
aboaboina,aboabo
anaboaboana,aboabo
fanaboabo,aboabo
fanaboaboana,aboabo
fiaboabo,aboabo
fiaboaboana,aboabo
iaboaboana,aboabo
manaboabo,aboabo
miaboabo,aboabo
mihaboabo,aboabo
mpanaboabo,aboabo
mpiaboabo,aboabo
piaboabo,aboabo
voaboabo,aboabo
aboboina,abobo
mañabobo,abobo
abonibony,abony
abonina,abony
anaboniana,abony
fanaboniana,abony
fanabony,abony
mahabony,abony
mampanabony,abony
manabony,abony
mifanabony,abony
mpanabony,abony
voabony,abony
abosina,abosy
anabosiana,abosy
fanabosiana,abosy
fanabosy,abosy
mahabosy,abosy
manabosy,abosy
mpanabosy,abosy
voabosy,abosy
abiaby,aby
aada,ada
fiadaña,ada
mampiada,ada
miada,ada
mihamiada,ada
piada,ada
adaladala,adala
adalaina,adala
adalana,adala
ampanadala,adala
anadalana,adala
ankadala,adala
fahadalana,adala
fanadala,adala
fanadalana,adala
fankadala,adala
fiadala,adala
fiadalana,adala
fihadala,adala
hadala,adala
hadalana,adala
iadalana,adala
mahadala,adala
mampiadala,adala
mampihadala,adala
manadala,adala
mankadala,adala
miadala,adala
mifankadala,adala
mihadala,adala
mpanadala,adala
mpiadala,adala
pañadala,adala
pifañadala,adala
voaadala,adala
voadala,adala
adaladalaina,adaladala
fahadaladalana,adaladala
fiadaladalana,adaladala
hadaladalana,adaladala
iadaladalana,adaladala
kiadaladala,adaladala
mahadaladala,adaladala
miadaladala,adaladala
adanadana,adana
adanina,adana
ampiadanina,adana
anadanana,adana
fiadana,adana
fiadanana,adana
iadanana,adana
mahafiadana,adana
mampiadana,adana
manadana,adana
miadana,adana
mpiadana,adana
tafaadana,adana
fanadanadanana,adanadana
miadanadana,adanadana
manadary,adary
adidina,adidy
anadidiana,adidy
fanadidiana,adidy
fanadidy,adidy
fiadidiana,adidy
fiadidy,adidy
iadidiana,adidy
mampanadidy,adidy
mampifanadidy,adidy
manadidy,adidy
miadidy,adidy
mifanadidy,adidy
mpanadidy,adidy
mpiadidy,adidy
adinadina,adina
adinina,adina
anadinana,adina
fanadina,adina
fanadinana,adina
madina,adina
mampanadina,adina
mampifanadina,adina
manadina,adina
miadina,adina
mifanadina,adina
mpanadina,adina
mpiadina,adina
voadina,adina
ampiaiñe,adisy
miado,ado
aadokadoka,adokadoka
fiadokadohana,adokadoka
fiadokadoka,adokadoka
iadokadohana,adokadoka
miadokadoka,adokadoka
mpiadokadoka,adokadoka
adonadonana,adonadona
adonadonina,adonadona
fiadonadona,adonadona
fiadonadonana,adonadona
iadonadonana,adonadona
miadonadona,adonadona
mpiadonadona,adonadona
adraina,adra
fiadrana,adra
fiadrà,adra
iadrana,adra
mampiadrà,adra
miadrà,adra
mpiadrà,adra
miadrao,adrao
adiady,ady
adivina,ady
adiñe,ady
ampiadiana,ady
ampiadina,ady
fampiadiana,ady
fiadiana,ady
fiadina,ady
fiady,ady
iadiana,ady
mahady,ady
mampiady,ady
mampifanady,ady
miady,ady
mifampiady,ady
mifanady,ady
mpampiady,ady
mpiady,ady
pañady,ady
voaady,ady
fiafa,afa
fiafana,afa
iafana,afa
miafa,afa
miafana,afa
afahana,afaka
afahina,afaka
afakafaka,afaka
ahafahana,afaka
anafahana,afaka
fahafahana,afaka
fanafahana,afaka
fanafaka,afaka
iafahana,afaka
mahafaka,afaka
mampanafaka,afaka
mampifanafaka,afaka
manafaka,afaka
miafaka,afaka
mifanafaka,afaka
mpanafaka,afaka
mahaafake,afake
mampañafake,afake
miafake,afake
mifañafake,afake
mihaafake,afake
pañafake,afake
piafake,afake
pifañafake,afake
afanana,afana
anafanana,afana
fanafana,afana
fanafanana,afana
fiafanana,afana
iafanana,afana
mampanafana,afana
mampifanafana,afana
manafana,afana
mifanafana,afana
mpanafana,afana
voafana,afana
afatrafatra,afatra
anafatrafarana,afatrafatra
fiafatrafarana,afatrafatra
fiafatrafatra,afatrafatra
iafatrafarana,afatrafatra
manafatrafatra,afatrafatra
miafatrafatra,afatrafatra
mpiafatrafatra,afatrafatra
aferafera,afera
afenina,afina
afinafina,afina
anafenana,afina
fanafenana,afina
fanafina,afina
fiafenana,afina
fiafina,afina
iafenana,afina
mahafina,afina
mampanafina,afina
mampiafina,afina
mampifanafina,afina
manafina,afina
miafina,afina
mifanafina,afina
mpanafina,afina
mpiafina,afina
voafina,afina
afinafenina,afinafina
miafinafina,afinafina
aferina,afitra
afitrafitra,afitra
anaferana,afitra
fiaferana,afitra
fiafitra,afitra
iaferana,afitra
mahafitra,afitra
mampiafitra,afitra
manafitra,afitra
miafitra,afitra
mpiafitra,afitra
voafitra,afitra
kiafoafo,afo
fafokafohana,afokafoka
fiafokafohana,afokafoka
fiafokafoka,afokafoka
miafokafoka,afokafoka
mpiafokafoka,afokafoka
afonina,afona
anafonana,afona
iafonana,afona
manafona,afona
miafona,afona
fiafonafona,afonafona
fiafonafonana,afonafona
iafonafonana,afonafona
miafonafona,afonafona
mpiafonafona,afonafona
afovoanina,afovoany
anafovoanana,afovoany
fanafovoanana,afovoany
fanafovoany,afovoany
manafovoany,afovoany
miafy,afy
ahanahana,ahana
anahanana,ahana
fanahana,ahana
fanahanana,ahana
fiahana,ahana
